route_id,route_number,route_direction,source_id,destination_id,source_name,destination_name,route_type_id,route_name,via,google_distance,google_time,deleted_status
44190,361-D KBS-CDT,UP,160,7113,Kempegowda Bus Station,Chowdeshwari Temple (Towards Lingapura Cross),3,Kempegowda Bus Station To Chowdeshwari Temple (Towards Lingapura Cross),Lalbagh Main gate Electronic City,51299,6379,0
22735,361-K,UP,3014,9494,KR Market (Kalasipalya),Naganayakanahalli,3,KR Market To Naganayakanahalli,Chandapura,36189,4519,0
27179,361-K,DOWN,9495,3014,Naganayakanahalli,KR Market (Kalasipalya),3,Naganayakanahalli To KR Market,Chandapura,31777,4470,0
29154,362-A,UP,480,10705,Shivajinagara Bus Station,CPWD Quarters HSR Layout,3,Shivajinagara Bus Station To HSR Layout CPWD Quaters,Adugodi Madivala Central Silk Board,15395,2997,0
29162,362-A,DOWN,10705,6358,CPWD Quarters HSR Layout,Shivajinagara Bus Station,3,HSR Layout CPWD Quaters To Shivajinagara Bus Station,Central Silk Board Madivala Adugodi,12770,2512,0
21270,362-C,UP,480,7071,Shivajinagara Bus Station,Beguru (Towards Beguru),3,Shivajinagara Bus Station To Beguru,Madivala,14971,2962,0
21273,362-C,DOWN,1171,6358,Beguru (Towards Bommanahalli),Shivajinagara Bus Station,3,Beguru Attibele Road To Shivajinagara Bus Station,Madivala,14299,3005,0
28245,362-CA,UP,480,1167,Shivajinagara Bus Station,Vishwapriya Layout,3,Shivajinagara Bus Station To Vishwapriya Layout,Adugodi,15024,3097,0
28670,362-CA,DOWN,1216,6358,Vishwapriya Layout,Shivajinagara Bus Station,3,Vishwapriya Layout To Shivajinagara Bus Station,Adugodi,13383,2804,0
19550,362-D,UP,8929,2343,Shivajinagara Bus station,Kudlu,3,Shivajinagara Bus station To Kudlu,Adugodi,27558,3815,0
32782,362-D,DOWN,2339,6358,Kudlu,Shivajinagara Bus Station,3,Kudlu To Shivajinagara Bus Station,Adugodi,14483,2787,0
8703,362-F,UP,1767,8470,Vivek Nagara,ELC Wipro Main  Gate,3,Viveknagara To Electronic City Wipro Gate,Jakkasandra,21406,2171,0
8706,362-F,DOWN,8470,1760,ELC Wipro Main  Gate,Vivek Nagara,3,Electronic City Wipro Gate To Viveknagara,Jakkasandra,21517,2446,0
26280,362-J,UP,480,3790,Shivajinagara Bus Station,Bukkasagara,3,Shivajinagara Bus Station To Bukkasagara,Adugodi Beguru Koppa Gate OTC Circle,37113,6255,0
26281,362-J,DOWN,3795,6358,Bukkasagara ,Shivajinagara Bus Station,3,Bukkasagara To Shivajinagara Bus Station,OTC Circle Jigani Koppa Bommanahalli Adugodi ,33542,5742,0
